"condition" "typerepeat" "nb_of_sv" "runocc"
"random" "NoSD" 3633 "61"
"random" "LINE" 1615 "61"
"random" "SINE" 451 "61"
"random" "DNA" 2117 "61"
"random" "LTR" 289 "61"
"random" "All" 3987 "62"
"random" "SD" 3987 "62"
"random" "NoSD" 3654 "62"
"random" "LINE" 1710 "62"
"random" "SINE" 452 "62"
"random" "DNA" 2069 "62"
"random" "LTR" 298 "62"
"random" "All" 3983 "63"
"random" "SD" 3982 "63"
"random" "NoSD" 3654 "63"
"random" "LINE" 1711 "63"
"random" "SINE" 419 "63"
"random" "DNA" 2079 "63"
"random" "LTR" 289 "63"
"random" "All" 3979 "64"
"random" "SD" 3979 "64"
"random" "NoSD" 3657 "64"
"random" "LINE" 1643 "64"
"random" "SINE" 450 "64"
"random" "DNA" 2046 "64"
"random" "LTR" 319 "64"
"random" "All" 3986 "65"
"random" "SD" 3984 "65"
"random" "NoSD" 3669 "65"
"random" "LINE" 1681 "65"
"random" "SINE" 455 "65"
"random" "DNA" 2098 "65"
"random" "LTR" 295 "65"
"random" "All" 3982 "66"
"random" "SD" 3981 "66"
"random" "NoSD" 3651 "66"
"random" "LINE" 1708 "66"
"random" "SINE" 511 "66"
"random" "DNA" 2174 "66"
"random" "LTR" 285 "66"
"random" "All" 3984 "67"
"random" "SD" 3982 "67"
"random" "NoSD" 3663 "67"
"random" "LINE" 1662 "67"
"random" "SINE" 481 "67"
"random" "DNA" 2095 "67"
"random" "LTR" 278 "67"
"random" "All" 3984 "68"
"random" "SD" 3983 "68"
"random" "NoSD" 3664 "68"
"random" "LINE" 1632 "68"
"random" "SINE" 463 "68"
"random" "DNA" 2094 "68"
"random" "LTR" 293 "68"
"random" "All" 3985 "69"
"random" "SD" 3985 "69"
"random" "NoSD" 3671 "69"
"random" "LINE" 1644 "69"
"random" "SINE" 463 "69"
"random" "DNA" 2075 "69"
"random" "LTR" 304 "69"
"random" "All" 3982 "70"
"random" "SD" 3982 "70"
"random" "NoSD" 3658 "70"
"random" "LINE" 1674 "70"
"random" "SINE" 419 "70"
"random" "DNA" 2025 "70"
"random" "LTR" 287 "70"
"random" "All" 3984 "71"
"random" "SD" 3984 "71"
"random" "NoSD" 3657 "71"
"random" "LINE" 1706 "71"
"random" "SINE" 488 "71"
"random" "DNA" 2133 "71"
"random" "LTR" 280 "71"
"random" "All" 3984 "72"
"random" "SD" 3982 "72"
"random" "NoSD" 3660 "72"
"random" "LINE" 1640 "72"
"random" "SINE" 462 "72"
"random" "DNA" 2053 "72"
"random" "LTR" 283 "72"
"random" "All" 3986 "73"
"random" "SD" 3986 "73"
"random" "NoSD" 3622 "73"
"random" "LINE" 1705 "73"
"random" "SINE" 449 "73"
"random" "DNA" 2004 "73"
"random" "LTR" 280 "73"
"random" "All" 3983 "74"
"random" "SD" 3983 "74"
"random" "NoSD" 3645 "74"
"random" "LINE" 1691 "74"
"random" "SINE" 503 "74"
"random" "DNA" 2060 "74"
"random" "LTR" 290 "74"
"random" "All" 3983 "75"
"random" "SD" 3983 "75"
"random" "NoSD" 3648 "75"
"random" "LINE" 1666 "75"
"random" "SINE" 424 "75"
"random" "DNA" 2098 "75"
"random" "LTR" 287 "75"
"random" "All" 3983 "76"
"random" "SD" 3982 "76"
"random" "NoSD" 3630 "76"
"random" "LINE" 1646 "76"
"random" "SINE" 445 "76"
"random" "DNA" 2064 "76"
"random" "LTR" 275 "76"
"random" "All" 3985 "77"
"random" "SD" 3984 "77"
"random" "NoSD" 3668 "77"
"random" "LINE" 1723 "77"
"random" "SINE" 453 "77"
"random" "DNA" 2078 "77"
"random" "LTR" 265 "77"
"random" "All" 3986 "78"
"random" "SD" 3986 "78"
"random" "NoSD" 3664 "78"
"random" "LINE" 1672 "78"
"random" "SINE" 481 "78"
"random" "DNA" 2096 "78"
"random" "LTR" 297 "78"
"random" "All" 3982 "79"
"random" "SD" 3982 "79"
"random" "NoSD" 3657 "79"
"random" "LINE" 1739 "79"
"random" "SINE" 468 "79"
"random" "DNA" 2085 "79"
"random" "LTR" 262 "79"
"random" "All" 3985 "80"
"random" "SD" 3985 "80"
"random" "NoSD" 3675 "80"
"random" "LINE" 1706 "80"
"random" "SINE" 499 "80"
"random" "DNA" 2083 "80"
"random" "LTR" 302 "80"
"random" "All" 3983 "81"
"random" "SD" 3983 "81"
"random" "NoSD" 3640 "81"
"random" "LINE" 1664 "81"
"random" "SINE" 493 "81"
"random" "DNA" 2088 "81"
"random" "LTR" 286 "81"
