"condition" "typerepeat" "nb_of_sv" "runocc"
"random" "DNA" 1170 "125"
"random" "LTR" 171 "125"
"random" "All" 3568 "126"
"random" "SD" 3508 "126"
"random" "NoSD" 2786 "126"
"random" "LINE" 942 "126"
"random" "SINE" 221 "126"
"random" "DNA" 1198 "126"
"random" "LTR" 164 "126"
"random" "All" 3511 "127"
"random" "SD" 3445 "127"
"random" "NoSD" 2767 "127"
"random" "LINE" 911 "127"
"random" "SINE" 236 "127"
"random" "DNA" 1187 "127"
"random" "LTR" 159 "127"
"random" "All" 3544 "128"
"random" "SD" 3482 "128"
"random" "NoSD" 2809 "128"
"random" "LINE" 948 "128"
"random" "SINE" 243 "128"
"random" "DNA" 1145 "128"
"random" "LTR" 184 "128"
"random" "All" 3556 "129"
"random" "SD" 3475 "129"
"random" "NoSD" 2745 "129"
"random" "LINE" 910 "129"
"random" "SINE" 242 "129"
"random" "DNA" 1173 "129"
